A10	auto-estrada 10
ABAG	Associação de Beneficiência Augusto Gil
AB	Anheuser-Busch
ABAS	Actividades Subaquáticas
ABAV	Associação Brasileira de Agências de Viagens
ABB	Alexandre Barbosa Borges
ABB	Asea Brown Boveri
ABC	Académico de Braga Clube
ABC	Agência Baixa-Chiado
ABC	Agricultural Bank of China
ABC	Arabab Banking Corporation
ABC	Arab Banking Corporation
ABDZH	Associação de Bares e Discotecas da Zona Histórica
ABF	Associated British Foods
ABI	Associação Bancária Italiana
ABIC	Associação de Bolseiros de Investigação Científica
ABIC	Associação dos Bolseiros de Investigação Científica
ABIH	Associação Brasileira da Indústria de Hotéis
Abih	Associação Brasileira de Indústria de Hotéis
AB InBev	Anheuser-Busch InBev
ABIT	Associação Brasileira da Indústria Têxtil e da Confecção
ABL	A área bruta locável
ABL	a maior Área Bruta Locável
ABLGVFX	Associação de Beneficiários da Lezíria Grande de Vila Franca de Xira
ABM	Associação de Beneficiários do Mira
ABOFHBM	Associação de Beneficiários da Obra de Fomento Hidro-Agrícola do Baixo Mondego
ABORO	Associação de Beneficiários da Obra de Rega de Odivelas
ABP	Associação Brasileira em Portugal
ABRA	Associação Bracarense Amigos dos Animais
Abras	Associação Brasileira de Supermercados
Abrunheira	Mafra-Abrunheira-Malveira
Abrupto	www.abrupto.blogspot.com
ABS	"acesso e distribuição dos benefícios"
ABS	American Bureau of Shipping
ABS	Angola Business School
ABS	antibloqueio das rodas
abutres	ambiental e o lixo a céu aberto atacado diariamente por djugudés
ABZH	Associação de Bares da Zona Histórica
ABZHP	Associação de Bares da Zona Histórica do Porto
ABZHP	Associação de Bares e Discotecas da Zona Histórica do Porto
ACA	Associação Comercial de Aveiro
ACACC	Associação Centro de Arbitragem de Conflitos de Consumo
ACAE	Associação dos Construtores Automóveis Europeus
ACAJ	Associação de Coordenação e Apoio Juvenil
ACA-M	Associação de Cidadãos Auto-mobilizados
ACA-M	Associação de Cidadãos Auto-Mobilizados
ACAM	Associação de Cidadãos Auto-Mobilizados
Acam	Associação dos Cidadãos Auto-Mobilizados
ACA-M	Associação dos Cidadãos Auto-Mobilizados
ACAM	Associação dos Cidadãos Auto - Mobilizados
ACAM	Associação dos Cidadãos Auto-Mobilizados
ACAM	Associação dos Condutores Automobilizados
ACA-M	http://www.aca-m.org/
Acap	Associação Automóvel de Portugal
ACAP	Associação Automóvel de Portugal
ACAP	Associação de Automóvel de Portugal
ACAP	Associação de Clientes da Afinsa em Portugal
ACAP	Associação do Automóvel de Portugal
ACAP	Associação do Comércio Automóvel de Portugal
ACAP	Associação do Comércio Automóvel Português
Acapo	Associação de Cegos e Amblíopes de Portugal
ACAPO	Associação de Cegos e Amblíopes de Portugal
ACAPO	Associação dos Cegos e Ambílopes de Portugal
Acapo	Associação dos Cegos e Amblíopes de Portugal
ACAPO	Associação dos Cegos e Amblíopes de Portugal
Acapor	Associação do Comércio Audiovisual de Portugal
ACAPOR	Associação do Comércio Audiovisual de Portugal
ACAPOR	Audiovisual de Obras Culturais e de Entretenimento de Portugal
AC	assembleia de credores
AC	Atendimentos Complementares
AC	Autoridade da Concorrência
ACB	Associação Comercial de Braga
ACBI	Associação Cultural da Beira Interior
ACC	Académica de Coimbra
ACC	Associação dos Comerciantes de Cascais
ACC	Autoridade Central Competente
Acções PN-R	acções preferenciais “resgatáveis” emitidas pela Investco e actualmente detidas pela Eletrobrás
Accord	Acção para Controlar os Riscos Cardiovasculares na Diabetes
ACDE	a Exclusão para o Desenvolvimento
ACdP	Associação de Cidadãos do Porto
ACEA	Associação de Construtores Europeus de Automóveis
ACEA	Associação dos Construtores Automóveis Europeus
ACEA	Associação dos Construtores Europeus Automóveis
ACEA	Associação dos Construtores Europeus de Automóveis
ACEA	associação europeia do sector
ACEA	Automobile Manufacturer’s Association
ACE	Academia Contemporânea de Espectáculos
ACE	Acordo de Cooperação Económica
ACE	Agrupamento Complementar de Empresas
ACE	Agrupamento Complementar de s
ACE	agrupamentos complementares de empresa
ACE	agrupamentos complementares de empresas
ACECIA	agrupamento complementar de empresas de componentes para a indústria automóvel
ACED	a Exclusão e pelo Desenvolvimento
ACED	a Exclusão pelo Desenvolvimento
ACED	a Exclusão Pelo Desenvolvimento
ACED	Associação Contra a Exclusão para o Desenvolvimento
ACEGE	Associação Cristã de Empresários e Gestores
ACEGE	Associação Cristã de Empresários e Gestores de Empresas
A CEGE	Associação Cristã de Empresários e Gestores de s
ACEGE	Associação Cristã de Empresários e Gestores de s
a CEOE	a negociação devido às propostas da confederação patronal
ACEP	Associação do Comércio Electrónico em Portugal
ACEP	Associação do Electrónico em Portugal
ACEP	Associação do Electrónico para Portugal
ACEPI	Associação do Electrónico e da Publicidade Interactiva
ACES	Agrupamento de Centros de Saúde
ACES	Agrupamento de Centros de Saúde da Amadora
ACES	Agrupamento de Centros de Saúde do Zêzere
ACES	Agrupamento do Centro de Saúde
Aces	Agrupamentos de Centros de Saúde
ACES	agrupamentos de centros de saúde
ACES	Agrupamentos de Centros de Saúde
ACES	Agrupamentos dos Centros de Saúde
ACES	Associação Comercial e Empresarial de Santarém
acessos	a ter instalações com quatro áreas funcionais rigorosamente demarcadas
ACG	Associação Comercial da Guarda
ACG	Associação Comercial Guarda
ACGE	Alterações Climáticas e Gestão rial
Achar	agricultores da Charneca
ACHOC	Associação dos Industriais de Chocolates e Confeitaria
ACIA	Agência Canadiana da Inspecção de Alimentos
ACIA	agência de inspecções aos alimentos
ACIA	Alterações Climáticas no Árctico
ACI	Airports Council International
ACIB	Associação Comercial e Industrial de Barcelos
ACIBEV	Associação dos Comerciantes e Industriais de Bebidas Espirituosas e Vinhos
ACIC	Associação Comercial e Industrial de Coimbra
ACIC	Associação de Criadores e Indústrias de Conteúdos
ACICF	Associação Comercial e Industrial do Concelho do Fundão
acidentes	a criação de um "seguro para cobertura de eventualidades não abrangidas
ACIDI	alta comissária para a Imigração e Diálogo Intercultural
ACIDI	Alta Comissária para a Imigração e Diálogo Intercultural
ACIDI	Alta-Comissária para a Imigração e o Diálogo Intercultural
Acidi	Alto Comissariado para a Imigração e Diálogo Intercultural
ACIDI	Alto Comissariado para a Imigração e Diálogo Intercultural
ACIDI	Alto-Comissariado para a Imigração e Diálogo Intercultural
ACIF	a Câmara de Comércio e Indústria do Funchal
Acif	Associação Comercial e Industrial do Funchal
ACIF	Associação Comercial e Industrial do Funchal
ACIF	Associação da Carreira de Investigação e Fiscalização
ACIG	Associação Comercial de Guimarães
ACIM	Associação Comercial e Industrial de Mirandela
ACIMC	Associação Comercial e Industrial de Macedo de Cavaleiros
ACIME	Alto Comissariado para a Imigração e Minorias Étnicas
ACIME	Alto-Comissariado para a Imigração e Minorias Étnicas
ACIME	Alto Comissariado para a Imigração e para as Minorias Étnicas
ACIME	Alto Comissariado para os Imigrantes e Minorias Étnicas
ACIME	alto comissário para a Imigração e as Minorias Étnicas
ACIME	Alto Comissário para a Imigração e Minorias Éticas
ACIME	alto-comissário para a Imigração e Minorias Étnicas
ACIME	Alto Comissário para a Imigração e Minorias Étnicas
ACIME	Alto Comissário para a Migração e Minorias Étnicas
ACIP	Associação de Comércio e Indústria da Panificação
ACIP	Associação de Comércio e Indústria de Panificação
ACIP	Associação de e Indústria da Panificação
ACIP	Associação do Comércio e da Indústria de Panificação
ACIP	Associação do e da Indústria de Panificação
ACIPOL	Academia de Ciências Policiais
ACISO	Associação Empresarial Ourém-Fátima
ACLA	Associação Cultural dos Lugares Amigos
ACL	Academia das Ciências de Lisboa
ACL	Académica de Lisboa
ACL	Adega Cooperativa da Lourinhã
ACL	Associação Comercial de Lisboa
ACLU	American Civil Liberties Union
ACMA	Associação Cívica de Moradores de Alfornelos
ACMA	Associação Cívica dos Moradores de Alfornelos
ACM	Associação Cristã da Mocidade
ACM	Associação Cultural Manobras
ACMB	Associação de Comerciantes do Mercado do Bolhão
ACNUR	agência da ONU para os refugiados
ACNUR	Agência das Nações Unidas para os Refugiados
Acnur	Alto Comissariado da ONU para os Refugiados
ACNUR	Alto comissariado da ONU para os Refugiados
ACNUR	Alto Comissariado da ONU para os Refugiados
Acnur	Alto Comissariado das Nações Unidas para os Refugiados
ACNUR	Alto Comissariado das Nações Unidas para os Refugiados
ACNUR	Alto-Comissariado das Nações Unidas para os Refugiados
ACNUR	Alto Comissariado das Nações Unidas para Refugiados
ACNUR	alto comissário da ONU para os Refugiados
ACNUR	alto-comissário da ONU para os Refugiados
ACNUR	alto comissário das Nações Unidas para os refugiados
ACNUR	alto comissário das Nações Unidas para os Refugiados
ACNUR	Alto Comissário das Nações Unidas para os Refugiados
ACNUR	Alto-Comissário das Nações Unidas para os Refugiados
Acop	Associação de Consumidores de Portugal
ACOP	Associação de Consumidores de Portugal
Açores	a elaboração da base de dados sobre a biodiversidade da Macaronésia
Açores	avanço de 27,3 pontos percentuais
ACOS	Associação de Criadores de Ovinos do Sul
ACP	Acção Católica Portuguesa
ACPAO	Associação de Criadores e Produtores Agrícolas do Oeste
ACP	Associação Comercial de Portalegre
ACP	Associação Comercial de Porto
ACP	Associação Comercial do Porto
ACP	Associação de Comerciantes do Porto
ACP	Associação dos Comerciantes do Porto
ACP	Automóvel Club de Portugal
ACP	Automóvel Clube de Portugal
ACP	Automóvel Club Portugal
ACP	Autoridade do Canal do Panamá
ACPD	Associação de Consumidores de Produtos Dietéticos
ACPI	Associação dos Consultores de Propriedade Industrial
ACPI	Associação Portuguesa dos Consultores em Propriedade Industrial
ACPLAA	Associação Cívica de Protecção das Linhas de Água e Ambiente
ACRA	Associação de Consumidores dos Açores
ACRAL	Associação de Comerciantes da região do Algarve
Acral	Associação do Comércio e Serviços da Região do Algarve
ACRAL	Associação dos Comerciantes da Região do Algarve
ACR	Angola Consulting Resources
ACS	Actividades de Construccion y Servicios
ACS	Aerial Common Sensor
ACS	Agrupamentos de Centros de Saúde
ACS	Agrupamentos dos Centros de Saúde
ACS	Alto Comissariado da Saúde
ACS	Associação Comercial de Santarém
ACS	Associação de Comércio e Serviços
ACSDS	Associação de Comércio e Serviços do Distrito de Setúbal
ACSDS	Associação do Comércio e Serviços do Distrito de Setúbal
ACSS	Academia chinesa de Ciências Sociais
ACSS	Administração Central de Sistemas de Saúde
ACSS	Administração Central do Sistema de Saúde
ACSS	Administração Central dos Sistemas de Saúde
ACSS	Autoridade Central do Sistema de Saúde
ACTA	A Companhia de Teatro do Algarve
ACTA	Anti-Counterfeiting Trade Agreement
ACT	acordo colectivo de trabalho
ACT	Acordo Colectivo de Trabalho
ACT	acordos colectivos de trabalho
ACT	Acordos Colectivos de Trabalho
ACT	as Condições de Trabalho
ACT	as Condições do Trabalho
ACT	as Condições no Trabalho
ACT	associação medicamentosa à base de artemisina
ACT	Autoridade das Condições de Trabalho
ACTM	Autoridade de Controlo de Tráfego Marítimo
ACTUAL	Academia Tecnológica da Universidade Autónoma de Lisboa
ACTV	Acordo Colectivo de Trabalho Vertical
ACUP	Associação de Combatentes do Ultramar Português
ACVS	Associação Cabo-verdiana de Setúbal
AC	www.autoridadedaconcorrencia.pt
ADA	Administração de Aeroportos
ADA	Amigos dos Amigos
ADA	Associação Desportiva Afifense
ADA	Associação Direito de Aprender
ADACE	Ambiente de Cacia e Esgueira
Adaco	Associação Distrital dos Agricultores de Coimbra
ADACO	Associação Distrital dos Agricultores de Coimbra
ADADB	Associação de Defesa dos Agricultores do Distrito de Braga
ADAE	Associação para o Desenvolvimento da Alta Estremadura
ADAG	Agricultores da Guarda
ADAI	Aerodinâmica Industrial
ADAI	Aerodinânica Industrial
ADAI	Associação para o Desenvolvimento da Aerodinâmica
ADAI	Associação para o Desenvolvimento da Agro-Indústria
ADAL	Associação de Defesa do Ambiente de Loures
AD	Aliança Democrática
AD	Alternativa Democrática
Adapi	Armadores da Pesca Industrial
ADAPI	Armadores da Pesca Industrial
Adapi	Armadores das Pescas Industriais
ADAPI	Armadores das Pescas Industriais
Adapi	Associação de Armadores de Pesca Industrial
ADAPI	Associação de Armadores de Pesca Industrial
Adapi	Associação dos Armadores de Pesca Industrial
ADAPI	associação dos armadores de pesca industrial
ADAPI	Associação dos Armadores de Pesca Industrial
Adapi	Associação dos Armadores de Pescas Industriais
Adapi	Associação Portuguesa de Armadores de Pescas Industriais
ADAPI	Associação Portuguesa de Armadores de Pescas Industriais
Adapla	Armadores da Pesca Longínqua
ADAPLA	Armadores da Pesca Longínqua
ADAPUI	Armadores das Pescas Industrias
ADAS	Ambiente de Souselas
ADASE	a Defesa Ambiental de Santo Estêvão
ADASLN	Accionistas da SLN
ADAV	Apoio da Vida
ADAV	Associação de Defesa e Apoio à Vida
ADB	Asian Development Bank
ADBP	Associação de Dinamização da Baixa Pombalina
ADC	Angola Diamond Corporation
ADC	Apoio Domiciliário Coordenado
AdC	Autoridade Concorrência
Adc	Autoridade da Concorrência
AdC	Autoridade da Concorrência
ADC	Autoridade da Concorrência
AdC	Autoridade das Concorrência
AdC	Autoridade de Concorrência
ADC	Aviation Development Company
ADCBPP	Associação de Defesa dos Clientes do Banco Privado Português
ADCMoura	Associação para o Desenvolvimento do Concelho de Moura
ADDICT	Agência para o Desenvolvimento das Indústrias Criativas
ADDIM	a Defesa dos Direitos e dos Interesses das Mulheres
ADDIM	Associação de Defesa dos Interesses e da Igualdade das Mulheres
AdDP	accionistas da Águas do Douro e Paiva
AdDP	A empresa Águas do Douro e Paiva
Adeac	Associação espanhola de Educação Ambiental e de Consumo
ADEB	ao Doentes Depressivos e Bipolares
Adeb	aos Doentes Depressivos e Bipolares
ADEB	aos Doentes Depressivos e Bipolares
Adec	a protecção do ambiente do Alasca
ADEC	Associação de Directores de Escolas de Condução
ADELIA	"Acidentes Domésticos e de Lazer: Informação Adequada"
ADELIA	Acidentes Domésticos e de Lazer Informação Adequada
ADELIA	Acidentes Domésticos e de Lazer: Informação Adequada
ADEM	a Defesa dos Migrantes
Aden	Agência de Energia
ADENE	Agência da Energia
Adene	a gestão do sistema à Agência para a Energia
Adene	a ser executado pela Agência para a Energia
ADEPA	Associação de Defesa do Paciente espanhola
ADEPE	Associação de Desenvolvimento de Peniche
ADESCO	a convite de uma associação de solidariedade social
Adesgar	Associação de Defesa e Desenvolvimento da Serra da Gardunha
Adeturn	Associação de Turismo do Norte de Portugal
Adexo	Associação de Doentes e ex-doentes obesos
Adexo	Associação de Doentes Obesos e Ex-Obesos
ADEXO	Associação de Doentes Obesos e Ex-Obesos
ADEXO	Associação de Doentes Obesos e Ex-obesos de Portugal
ADEXO	Associação de Doentes Obesos e Ex-Obesos de Portugal
ADEXO	Associação de Doentes Obesos ou Ex-Obesos em Portugal
ADEXO	Associação de Obesos e Ex-Obesos de Portugal
ADEXO	Associação dos Doentes Obesos e Ex-Obesos
Adexo	Associação dos Doentes Obesos e Ex-obesos de Portugal
ADFA	Associação de Deficientes das Forças Armadas
ADFA	Associação dos Deficientes das Forças Armadas
ADFER	a Defesa do Transporte Ferroviário
Adfer	Associação para o Desenvolvimento do Transporte Ferroviário
ADFER	Associação para o Desenvolvimento do Transporte Ferroviário
ADFER	Associação Para o Desenvolvimento do Transporte Ferroviário
Adfer	Associação Portuguesa para o Desenvolvimento do Transporte Ferroviário
ADFER	Associação Portuguesa para o Desenvolvimento do Transporte Ferroviário
ADFER	http://adfer.cp.pt
ADFF	Associação para o Desenvolvimento da Figueira da Foz
ADFP	Associação para o Desenvolvimento e Formação Profissional
ADHP	Associação dos Hotéis de Portugal
ADIA	Abu Dhabi Investiment Authority
ADIA	Abu Dhabi Investment Authority
Adi	Agência de Inovação
AdI	Agência de Inovação
ADI	Alzheimer's Disease International
ADIF	Administrador de Infra-estruturas Rodoviárias
ADISPOR	Associação dos Institutos Superiores Politécnicos Portugueses
ADL	Associação Dentária Lusófona
ADL	Associações de Desenvolvimento Local
ADL	automotoras diesel ligeiras
Adlei	Associação para o Desenvolvimento de Leiria
ADLEI	Associação para o Desenvolvimento de Leiria
ADM	aos Militares das Forças Armadas
ADM	assistência à doença dos militares
ADM	Assistência na Doença aos Militares
ADM	Assistência na Doença dos Militares
ADM	Assistência na Doença para Militares
ADMD	a Doentes Depressivos e Maníaco-Depressivos
ADME	Assistência na Doença aos Militares do Exército
ADME	Assistência na Doença de Militares do Exército
ADMG	Assistência na Doença aos Militares da Guarda
AdNA	administrador delegado da empresa Águas do Norte Alentejano
AdNA	a empresa Águas do Norte Alentejano
ADN	Associação de Defensores da Natureza
ADN	Associação de Dietéticos Nacionais
ADN	Associação de Discotecas Nacional
ADN	Associação Defensores da Natureza
ADN	Associação Discotecas Nacional
ADN	Associação dos Dietéticos Nacional
ADO	Associação Desportiva Ovarense
ADOD	adjunto de Operações Distrital
AdP	a Águas de Portugal
AdP	A Águas de Portugal
ADPA	Associação dos Países Africanos Produtores de Diamantes
AdP	actual presidente das Águas de Portugal
AdP	administração da Águas de Portugal
AdP	a empresa Águas de Portugal
ADP	Aeroportos de Paris
AdP	Aeropuertos del Peru
AdP	a "holding" Águas de Portugal
AdP	a “holding” estatal Águas de Portugal
AdP	através da Águas de Portugal
AdP	automóveis da Águas de Portugal
AdP	avaliação financeira da Águas de Portugal
ADPB	Associação de Defesa do Património de Beja
ADPM	Associação de Defesa do Património de Mértola
AdRA	aplicadas pela Águas da Região de Aveiro
Adrag	Associação das Empresas de Dragagens do Norte
ADRAG	Associação das Empresas de Dragagens do Norte
ADRAG	Associação das s de Dragagens do Norte
ADR	American Depositary Receipts
ADR	Associação de Desenvolvimento da Rebordosa
Adrave	Agência de Desenvolvimento Regional do Vale do Ave
ADRNP	Associação dos Doentes Renais do Norte de Portugal
ADRO	Agência de Desenvolvimento Regional do Oeste
ADS	Agrupamento de Defesa Sanitária
ADS	Agrupamentos de Defesa Sanitária
ADSE	aos beneficiários dos serviços de saúde do Estado
ADSE	aos Servidores do Estado
ADSE	Assistência à Doença dos Servidores do Estado
ADSE	Assistência na Doença ao Servidor do Estado
ADSE	Assistência na Doença dos Servidores Civis do Estado
ADSE	Assistência na Doença dos Servidores do Estado
ADSL	ADSLP.pt
ADSL	Asymetric Digital Subscriber Line
ADSMTP	Associação de Defesa e Segurança dos Motoristas de Táxi do Porto
ADUP	Associação de Utentes da Ponte 25 de Abril
ADVID	Associação de Desenvolvimento da Viticultura Duriense
AEA	Aéreas
AEA	Aéreas Europeias
AEA	Agência Europeia de Ambiente
AEA	Agência Europeia do Ambiente
AEA	Associação rial de Almancil
AEA	Association of European Airlines
AEA	Auto-estradas do Atlântico
AEA	Auto Estradas do Atlântico
AEA	Auto-Estradas do Atlântico
AEA	Aviação Europeias
AE	Acordo de
AE	acordo de empresa
AE	Acordo de Empresa
AE	Acordo de Empresa"
AE	Acordos de
AE	acordos de empresa
Aeape	Associação de Educação e Apoio na Esquizofrenia
AE	associação de estudantes
AE	Associação de Estudantes
AE	associações de estudantes
AE	associações de Estudantes
AEAT	Agência Estatal de Administração Tributária
AEAT	Associação de Estudos do Alto Tejo
AE	Auto-estrada
AE	Auto-Estrada
AEB	Asia-EcoBest
AEB	Associação Espanhola da Banca
AEB	Associação Espanhola de Banca
AEB	Associação Espanhola de Bancos
AEBC	Associação Europeia de Bancos Cooperativos
AEBU	Associação dos Empregados Bancários do Uruguai
AEC	actividades de enriquecimento curricular
AEC	Actividades de Enriquecimento Curricular
AEC	Actividades Extra Curriculares
AECC	Associação Empresarial do Concelho de Cascais
AECID	Agência de Cooperação Internacional para o Desenvolvimento
AECM	Associação Empresarial do Concelho de Matosinhos
Aecops	Associação das Empresas de Construção e Obras Públicas
AECOPS	Associação das Empresas de Construção e Obras Públicas
AECOPS	Associação das Empresas de Construçâo e Obras Públicas do Sul
AECOPS	Associação das s de Construção Civil e Obras Públicas
Aecops	Associação das s de Construção e Obras Públicas
AECOPS	associação das s de Construção e Obras Públicas
AECOPS	Associação das s de Construção e Obras Públicas
AECOPS	Associação das s de Construção e Obras Públicas do Sul
AECOPS	Associação de Empreiteiros de Construção e Obras Públicas do Sul
AECOPS	Associação de Empresas de Construção Civil e Obras Públicas
AECOPS	Associação de Empresas de Construção e Obras Públicas
AECOPS	Associação de Empresas de Construção e Obras Públicas e Serviços
AECOPS	Associação de s de Construção Civil e Obras Públicas
AECOPS	Associação de s de Construção de Obras Públicas
Aecops	Associação de s de Construção e Obras Públicas
AECOPS	Associação de s de Construção e Obras Públicas
AECOPS	Associação de s de Construção e Obras Públicas e Serviços
AECOPS	Associação dos Empresários da Construção Civil e Obras Públicas
AECOPS	Associação Nacional de Construção e Obras Públicas
AECP	Associação de Exploradores de Calçada à Portuguesa
AECP	Auto-Estradas da Costa de Prata
AECT	Agrupamento Europeu de Cooperação Territorial
AED	Automative Electronics Division
AEEP	Associação de Ensino Particular e Cooperativo
AEEP	Associação de Escolas do Ensino Particular e Cooperativo
Aeep	Associação de Estabelecimentos de Ensino Particular
AEEP	Associação de Estabelecimentos de Ensino Particular
Aeep	Associação de Estabelecimentos de Ensino Particular e Cooperativo
AEEP	Associação de Estabelecimentos de Ensino Particular e Cooperativo
AEEP	Associação de Estabelecimentos do Ensino Particular Cooperativo
Aeep	Associação de Estabelecimentos do Ensino Particular e Cooperativo
AEEP	Associação de Estabelecimentos do Ensino Particular e Cooperativo
AEEP	Associação dos Estabelecimento de Ensino Privado e Cooperativo
Aeep	Associação dos Estabelecimentos de Ensino Particular
Aeep	Associação dos Estabelecimentos de Ensino Particular e Cooperativo
AEEP	Associação dos Estabelecimentos de Ensino Particular e Cooperativo
AEEP	Associação dos Estabelecimentos de Ensino Particular o Cooperativo
AEEP	Associação dos Estabelecimentos de Ensino Privado
AEEP	Associação dos Estabelecimentos de Ensino Privado e Cooperativo
Aeep	Associação dos Estabelecimentos do Ensino Particular e Cooperativo
Aeep	Associação dos Estabelecimentos Particulares e Cooperativos
AEEPC	Associação de Estabelecimentos de Ensino Particular e Cooperativo
AEFCUL	Associação de Estudantes da Faculdade de Ciências da Universidade de Lisboa
AEGAP	Associação de Empresas de Ginásios e Academias de Portugal
AEGE	associação das empresas com grande consumo de energia
AEGL	Auto-estradas da Grande Lisboa
AEI	Aircraft Engineers International
AEI	Associação Europeia de Universidades
AEIE	agrupamento europeu de interesse económico
AEIPS	Associação para o Estudo e Integração Psicossocial
AE/ISEL	Associação de Estudantes do Instituto Superior de Engenharia de Lisboa
AEIST	Associação de Estudantes do Instituto Superior Técnico
AEIST	Associação dos Estudantes do Instituto Superior Técnico
AELO	Auto-Estrada Litoral Oeste
AELO	Auto-Estradas do Litoral Oeste
AEM	Ambientais Multilaterais
a Emea	agência europeia do medicamento
Aemet	Agência Estatal de Meteorologia espanhola
AEMH	Associação Europeia de Médicos Hospitalares
AEMPH	Associação de Emergência Médica Pré-Hospitalar
a Empordef	a direcção da empresa e da "holding" estatal para a área da Defesa
AENA	Aeroportos Espanhóis e Navegação Aérea
AEN	Agência de Energia Nuclear
Aenor	a empresa concessionária das auto-estradas da Costa de Prata
Aenor	ambos com financiamentos anteriores no banco
Aenor	a retirada do seu balanço das responsabilidades assumidas pela Ascendi
Aenor	Auto-Estradas do Norte
AENOR	Auto-Estradas do Norte
AEPA	Administração Estatal de Protecção do Ambiente
AEP	Aliança Evangélica Portuguesa
AEP	Associação de s de Portugal
AEP	associação Empresarial de Portugal
AEP	Associação Empresarial de Portugal
AEP	Associação Empresarial do Porto
AEP	Associação Empresarial Portuguesa
AEP	Associação rial de Paredes
AEP	Associação rial de Portugal
AEP	associações Empresarial de Portugal
AEPF	Associação rial de Paços de Ferreira
AEPSA	Associação das Empresa Portuguesas para o Sector do Ambiente
AEPSA	Associação das Empresas Portuguesas do Sector da Água
